"doy","fit","se","Site","validName"
69,2.22044604925031e-16,1.12544066619999e-12,"Biva","Agrotis ipsilon"
70,2.22044604925031e-16,1.11537298444545e-12,"Biva","Agrotis ipsilon"
71,2.22044604925031e-16,1.10532196453143e-12,"Biva","Agrotis ipsilon"
72,2.22044604925031e-16,1.09528881449976e-12,"Biva","Agrotis ipsilon"
73,2.22044604925031e-16,1.08527473104727e-12,"Biva","Agrotis ipsilon"
74,2.22044604925031e-16,1.07528089886904e-12,"Biva","Agrotis ipsilon"
75,2.22044604925031e-16,1.06530848998607e-12,"Biva","Agrotis ipsilon"
76,2.22044604925031e-16,1.05535866305691e-12,"Biva","Agrotis ipsilon"
77,2.22044604925031e-16,1.04543256267316e-12,"Biva","Agrotis ipsilon"
78,2.22044604925031e-16,1.03553131863847e-12,"Biva","Agrotis ipsilon"
79,2.22044604925031e-16,1.02565604523088e-12,"Biva","Agrotis ipsilon"
80,2.22044604925031e-16,1.01580784044837e-12,"Biva","Agrotis ipsilon"
81,2.22044604925031e-16,1.00598778523732e-12,"Biva","Agrotis ipsilon"
82,2.22044604925031e-16,9.96196942703983e-13,"Biva","Agrotis ipsilon"
83,2.22044604925031e-16,9.86436357308725e-13,"Biva","Agrotis ipsilon"
84,2.22044604925031e-16,9.76707054043146e-13,"Biva","Agrotis ipsilon"
85,2.22044604925031e-16,9.67010037590035e-13,"Biva","Agrotis ipsilon"
86,2.22044604925031e-16,9.57346291466289e-13,"Biva","Agrotis ipsilon"
87,2.22044604925031e-16,9.47716777148936e-13,"Biva","Agrotis ipsilon"
88,2.22044604925031e-16,9.38122433184462e-13,"Biva","Agrotis ipsilon"
89,2.22044604925031e-16,9.28564174281736e-13,"Biva","Agrotis ipsilon"
90,2.22044604925031e-16,9.19042890388876e-13,"Biva","Agrotis ipsilon"
91,2.22044604925031e-16,9.09559445754479e-13,"Biva","Agrotis ipsilon"
92,2.22044604925031e-16,9.00114677973743e-13,"Biva","Agrotis ipsilon"
93,2.22044604925031e-16,8.90709397020055e-13,"Biva","Agrotis ipsilon"
94,2.22044604925031e-16,8.81344384262763e-13,"Biva","Agrotis ipsilon"
95,2.22044604925031e-16,8.72020391471899e-13,"Biva","Agrotis ipsilon"
96,2.22044604925031e-16,8.62738139810757e-13,"Biva","Agrotis ipsilon"
97,2.22044604925031e-16,8.53498318817328e-13,"Biva","Agrotis ipsilon"
98,2.22044604925031e-16,8.44301585375698e-13,"Biva","Agrotis ipsilon"
99,2.22044604925031e-16,8.35148562678663e-13,"Biva","Agrotis ipsilon"
100,2.22044604925031e-16,8.26039839182898e-13,"Biva","Agrotis ipsilon"
101,2.22044604925031e-16,8.169759675582e-13,"Biva","Agrotis ipsilon"
102,2.22044604925031e-16,8.07957463632403e-13,"Biva","Agrotis ipsilon"
103,2.22044604925031e-16,7.98984805333771e-13,"Biva","Agrotis ipsilon"
104,2.22044604925031e-16,7.90058431632743e-13,"Biva","Agrotis ipsilon"
105,2.22044604925031e-16,7.81178741485139e-13,"Biva","Agrotis ipsilon"
106,2.22044604925031e-16,7.72346092779026e-13,"Biva","Agrotis ipsilon"
107,2.22044604925031e-16,7.63560801287634e-13,"Biva","Agrotis ipsilon"
108,2.22044604925031e-16,7.5482313963089e-13,"Biva","Agrotis ipsilon"
109,2.22044604925031e-16,7.46133336248267e-13,"Biva","Agrotis ipsilon"
110,2.22044604925031e-16,7.37491574385869e-13,"Biva","Agrotis ipsilon"
111,2.22044604925031e-16,7.28897991100813e-13,"Biva","Agrotis ipsilon"
112,2.22044604925031e-16,7.20352676286172e-13,"Biva","Agrotis ipsilon"
113,2.22044604925031e-16,7.11855671719913e-13,"Biva","Agrotis ipsilon"
114,2.22044604925031e-16,7.03406970141481e-13,"Biva","Agrotis ipsilon"
115,2.22044604925031e-16,6.9500651435984e-13,"Biva","Agrotis ipsilon"
116,2.22044604925031e-16,6.86654196396995e-13,"Biva","Agrotis ipsilon"
117,2.22044604925031e-16,6.78349856671227e-13,"Biva","Agrotis ipsilon"
118,2.22044604925031e-16,6.70093283224463e-13,"Biva","Agrotis ipsilon"
119,2.22044604925031e-16,6.61884210998416e-13,"Biva","Agrotis ipsilon"
120,2.22044604925031e-16,6.53722321164349e-13,"Biva","Agrotis ipsilon"
121,2.22044604925031e-16,6.45607240511529e-13,"Biva","Agrotis ipsilon"
122,2.22044604925031e-16,6.37538540899671e-13,"Biva","Agrotis ipsilon"
123,2.22044604925031e-16,6.29515738780903e-13,"Biva","Agrotis ipsilon"
124,2.22044604925031e-16,6.21538294797019e-13,"Biva","Agrotis ipsilon"
125,2.22044604925031e-16,6.13605613458067e-13,"Biva","Agrotis ipsilon"
126,2.22044604925031e-16,6.05717042908567e-13,"Biva","Agrotis ipsilon"
127,2.22044604925031e-16,5.97871874787951e-13,"Biva","Agrotis ipsilon"
128,2.22044604925031e-16,5.90069344192144e-13,"Biva","Agrotis ipsilon"
129,2.22044604925031e-16,5.82308629743523e-13,"Biva","Agrotis ipsilon"
130,2.22044604925031e-16,5.74588853776867e-13,"Biva","Agrotis ipsilon"
131,2.22044604925031e-16,5.66909082649345e-13,"Biva","Agrotis ipsilon"
132,2.22044604925031e-16,5.59268327183006e-13,"Biva","Agrotis ipsilon"
133,2.22044604925031e-16,5.51665543248785e-13,"Biva","Agrotis ipsilon"
134,2.22044604925031e-16,5.44099632501609e-13,"Biva","Agrotis ipsilon"
135,2.22044604925031e-16,5.36569443276826e-13,"Biva","Agrotis ipsilon"
136,2.22044604925031e-16,5.29073771658982e-13,"Biva","Agrotis ipsilon"
137,2.22044604925031e-16,5.21611362734791e-13,"Biva","Agrotis ipsilon"
138,2.22044604925031e-16,5.14180912043166e-13,"Biva","Agrotis ipsilon"
139,2.22044604925031e-16,5.0678106723634e-13,"Biva","Agrotis ipsilon"
140,2.22044604925031e-16,4.99410442199901e-13,"Biva","Agrotis ipsilon"
141,2.22044604925031e-16,4.92068093278488e-13,"Biva","Agrotis ipsilon"
142,2.22044604925031e-16,4.84753717852768e-13,"Biva","Agrotis ipsilon"
143,2.22044604925031e-16,4.77467105651967e-13,"Biva","Agrotis ipsilon"
144,2.22044604925031e-16,4.70208097526083e-13,"Biva","Agrotis ipsilon"
145,2.22044604925031e-16,4.62976584636782e-13,"Biva","Agrotis ipsilon"
146,2.22044604925031e-16,4.55772507644645e-13,"Biva","Agrotis ipsilon"
147,2.22044604925031e-16,4.485958558938e-13,"Biva","Agrotis ipsilon"
148,2.22044604925031e-16,4.41446666594943e-13,"Biva","Agrotis ipsilon"
149,2.22044604925031e-16,4.34325024007705e-13,"Biva","Agrotis ipsilon"
150,2.22044604925031e-16,4.27231058623229e-13,"Biva","Agrotis ipsilon"
